Time,Open,High,Low,Close,Volume,EMA50,EMA200,RSI14,ATR14
2024.01.02 00:00,1.10437,1.10451,1.10415,1.10449,93,1.10534,1.10667,100.00,0.00
2024.01.02 00:15,1.10420,1.10450,1.10420,1.10426,77,1.10529,1.10664,0.00,0.00
2024.01.02 00:30,1.10437,1.10437,1.10415,1.10428,69,1.10525,1.10662,100.00,0.00
2024.01.02 00:45,1.10423,1.10441,1.10411,1.10439,136,1.10522,1.10660,100.00,0.00
2024.01.02 01:00,1.10441,1.10447,1.10380,1.10382,508,1.10517,1.10657,0.00,0.00
2024.01.02 01:15,1.10383,1.10384,1.10371,1.10377,407,1.10511,1.10654,0.00,0.00
2024.01.02 01:30,1.10377,1.10385,1.10360,1.10366,676,1.10505,1.10651,0.00,0.00
2024.01.02 01:45,1.10366,1.10373,1.10354,1.10364,616,1.10500,1.10649,0.00,0.00
2024.01.02 02:00,1.10364,1.10380,1.10362,1.10370,632,1.10495,1.10646,100.00,0.00
2024.01.02 02:15,1.10370,1.10374,1.10340,1.10347,613,1.10489,1.10643,0.00,0.00
2024.01.02 02:30,1.10347,1.10359,1.10343,1.10356,507,1.10484,1.10640,100.00,0.00
2024.01.02 02:45,1.10356,1.10384,1.10354,1.10381,624,1.10480,1.10637,100.00,0.00
2024.01.02 03:00,1.10380,1.10432,1.10374,1.10388,1334,1.10476,1.10635,100.00,0.00
2024.01.02 03:15,1.10388,1.10430,1.10386,1.10394,1107,1.10473,1.10633,100.00,0.00
2024.01.02 03:30,1.10394,1.10398,1.10368,1.10382,1598,1.10469,1.10630,0.00,0.00
2024.01.02 03:45,1.10383,1.10401,1.10340,1.10347,1040,1.10465,1.10627,0.00,0.00
2024.01.02 04:00,1.10348,1.10358,1.10312,1.10318,970,1.10459,1.10624,0.00,0.00
2024.01.02 04:15,1.10319,1.10321,1.10259,1.10262,1248,1.10451,1.10621,0.00,0.00
2024.01.02 04:30,1.10263,1.10269,1.10218,1.10237,1737,1.10443,1.10617,0.00,0.00
2024.01.02 04:45,1.10234,1.10241,1.10180,1.10187,1565,1.10433,1.10612,0.00,0.00
2024.01.02 05:00,1.10187,1.10236,1.10174,1.10223,1052,1.10424,1.10609,100.00,0.00
2024.01.02 05:15,1.10222,1.10241,1.10204,1.10213,799,1.10416,1.10605,0.00,0.00
2024.01.02 05:30,1.10213,1.10230,1.10206,1.10230,605,1.10409,1.10601,100.00,0.00
2024.01.02 05:45,1.10230,1.10248,1.10230,1.10244,523,1.10402,1.10597,100.00,0.00
2024.01.02 06:00,1.10244,1.10249,1.10207,1.10218,644,1.10395,1.10594,0.00,0.00
2024.01.02 06:15,1.10219,1.10226,1.10190,1.10193,454,1.10387,1.10590,0.00,0.00
2024.01.02 06:30,1.10193,1.10204,1.10171,1.10175,848,1.10379,1.10585,0.00,0.00
2024.01.02 06:45,1.10175,1.10212,1.10163,1.10209,1565,1.10372,1.10582,100.00,0.00
2024.01.02 07:00,1.10209,1.10253,1.10206,1.10249,1511,1.10367,1.10578,100.00,0.00
2024.01.02 07:15,1.10251,1.10283,1.10244,1.10265,1255,1.10363,1.10575,100.00,0.00
2024.01.02 07:30,1.10265,1.10305,1.10262,1.10300,962,1.10361,1.10573,100.00,0.00
2024.01.02 07:45,1.10301,1.10335,1.10289,1.10331,1389,1.10360,1.10570,100.00,0.00
2024.01.02 08:00,1.10332,1.10342,1.10316,1.10319,1855,1.10358,1.10568,0.00,0.00
2024.01.02 08:15,1.10319,1.10339,1.10297,1.10320,1532,1.10357,1.10565,100.00,0.00
2024.01.02 08:30,1.10321,1.10349,1.10309,1.10337,1208,1.10356,1.10563,100.00,0.00
2024.01.02 08:45,1.10338,1.10352,1.10266,1.10287,1707,1.10353,1.10560,0.00,0.00
2024.01.02 09:00,1.10286,1.10312,1.10243,1.10281,2481,1.10350,1.10557,0.00,0.00
2024.01.02 09:15,1.10281,1.10377,1.10276,1.10372,2464,1.10351,1.10556,100.00,0.00
2024.01.02 09:30,1.10371,1.10381,1.10299,1.10301,1836,1.10349,1.10553,0.00,0.00
2024.01.02 09:45,1.10301,1.10315,1.10151,1.10156,4188,1.10342,1.10549,0.00,0.00
2024.01.02 10:00,1.10156,1.10389,1.10156,1.10324,4405,1.10341,1.10547,100.00,0.00
2024.01.02 10:15,1.10324,1.10342,1.10277,1.10289,2610,1.10339,1.10544,0.00,0.00
2024.01.02 10:30,1.10289,1.10331,1.10280,1.10293,2063,1.10337,1.10542,100.00,0.00
2024.01.02 10:45,1.10293,1.10332,1.10254,1.10298,2015,1.10336,1.10539,100.00,0.00
2024.01.02 11:00,1.10298,1.10365,1.10290,1.10352,2106,1.10336,1.10537,100.00,0.00
2024.01.02 11:15,1.10352,1.10380,1.10331,1.10333,1749,1.10336,1.10535,0.00,0.00
2024.01.02 11:30,1.10333,1.10351,1.10190,1.10197,2037,1.10331,1.10532,0.00,0.00
2024.01.02 11:45,1.10197,1.10200,1.10108,1.10152,2478,1.10324,1.10528,0.00,0.00
2024.01.02 12:00,1.10150,1.10171,1.09971,1.10001,2709,1.10311,1.10523,0.00,0.00
2024.01.02 12:15,1.10001,1.10057,1.09996,1.10039,2259,1.10300,1.10518,100.00,0.00
2024.01.02 12:30,1.10039,1.10103,1.10029,1.10097,1872,1.10292,1.10514,100.00,0.00
2024.01.02 12:45,1.10097,1.10112,1.10028,1.10075,2489,1.10284,1.10510,0.00,0.00
2024.01.02 13:00,1.10075,1.10077,1.09894,1.09895,3100,1.10269,1.10504,0.00,0.00
2024.01.02 13:15,1.09897,1.09922,1.09785,1.09805,4025,1.10250,1.10497,0.00,0.00
2024.01.02 13:30,1.09805,1.09805,1.09704,1.09710,3278,1.10229,1.10489,0.00,0.00
2024.01.02 13:45,1.09710,1.09731,1.09667,1.09693,2339,1.10208,1.10481,0.00,0.00
2024.01.02 14:00,1.09693,1.09721,1.09677,1.09691,2506,1.10188,1.10473,0.00,0.00
2024.01.02 14:15,1.09691,1.09695,1.09611,1.09657,2453,1.10167,1.10465,0.00,0.00
2024.01.02 14:30,1.09657,1.09684,1.09579,1.09608,2699,1.10145,1.10456,0.00,0.00
2024.01.02 14:45,1.09608,1.09635,1.09537,1.09540,3246,1.10121,1.10447,0.00,0.00
2024.01.02 15:00,1.09540,1.09590,1.09533,1.09579,3717,1.10100,1.10439,100.00,0.00
2024.01.02 15:15,1.09579,1.09624,1.09518,1.09581,3820,1.10080,1.10430,100.00,0.00
2024.01.02 15:30,1.09582,1.09651,1.09571,1.09642,3443,1.10063,1.10422,100.00,0.00
